IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE
2021,"PLAINS PIPELINE, L.P.",31.673967,-103.755979,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"PLAINS PIPELINE, L.P.",31.80016,-103.27248,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,30.618589,-94.969946,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,28.9461,-95.4235,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,ENTERPRISE PRODUCTS OPERATING LLC,28.585906,-96.918319,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"PLAINS PIPELINE, L.P.",31.991432,-102.445955,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,MARATHON PIPE LINE LLC,39.32623,-87.89847,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,"MAGELLAN PIPELINE COMPANY, LP",44.931364,-91.225393,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"KINDER MORGAN LIQUID TERMINALS, LLC",29.72504,-95.20074,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,MID - VALLEY PIPELINE CO,34.461767,-89.565442,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"MAGELLAN PIPELINE COMPANY, LP",31.81701472,-102.3341615,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER
2021,EXPLORER PIPELINE CO,29.816358,-95.179689,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,EXXONMOBIL PIPELINE CO,27.9172117,-94.7844572,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"EPIC CONSOLIDATED OPERATIONS, LLC",27.8272,-97.6163472,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"NUSTAR LOGISTICS, L.P.",34.2022,-97.34698,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"EPIC CONSOLIDATED OPERATIONS, LLC",29.1754167,-100.330638,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,YES,CARBON STEEL,LEAK
2021,SUNOCO PIPELINE L.P.,32.73665,-99.82082,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,HARVEST MIDSTREAM COMPANY,28.501742,-98.855826,CRUDE OIL,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"FRONTIER MIDSTREAM SOLUTIONS IV,  LLC",32.0877,-102.0307,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"MAGELLAN PIPELINE COMPANY, LP",30.350864,-95.899305,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,EXPLORER PIPELINE CO,29.900874,-94.005656,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,29.7594,-95.1425,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"TEXOMA CRUDE OIL PIPELINE CO., LLC",34.237801,-97.493738,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,29.82619,-94.88545,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,"CCPS TRANSPORTATION, LLC",40.943094,-88.644964,CRUDE OIL,YES,CARBON STEEL,LEAK
2021,"SHELL PIPELINE CO., L.P.",29.716064,-95.187128,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,"MAGELLAN TERMINALS HOLDINGS, LP",29.7460223,-95.20283238,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,COLONIAL PIPELINE CO,30.711073,-91.281434,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,PHILLIPS 66 PIPELINE LLC,29.999096,-93.983862,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,WEST COAST TERMINAL PIPELINE  (WCTP),45.56545,-122.743195,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,CARBON STEEL,LEAK
2021,COLONIAL PIPELINE CO,29.71901833,-95.17919497,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,29.7068,-95.2233,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,ENTERPRISE CRUDE PIPELINE LLC,29.609819,-95.183176,CRUDE OIL,NO,CARBON STEEL,LEAK
2021,"MEDALLION OPERATING COMPANY, LLC",31.359555,-101.512208,CRUDE OIL,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK
