,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
1738,2016,IMTT-BAYONNE,40.64995921,-74.11977753,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.0,0.0,5.0,NO,,NO,,NO,CARBON STEEL,OTHER,,40.650034,-74.124025,0.95,nearest_street,107,Hobart Ave,,,Bayonne,NJ,Hudson County,7002,US,TIGER/Line® dataset from the US Census Bureau,0.0
1752,2016,"BUCKEYE PARTNERS, LP",40.547339,-74.260283,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,0.0,0.5,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.547401,-74.258834,0.99,rooftop,76,Holton St,,,Sewaren,NJ,Middlesex County,7077,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
1791,2016,"BUCKEYE PARTNERS, LP",40.608154,-74.240296,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.19,0.0,1.19,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.609437,-74.240886,0.99,rooftop,1301,Lower Rd,,,Linden,NJ,Union County,7036,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
1817,2016,"KINDER MORGAN LIQUID TERMINALS, LLC",40.52275,-74.25343,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.02,0.0,0.0,NO,,NO,,YES,CARBON STEEL,OTHER,,40.52253,-74.254623,0.99,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.02
1836,2016,IMTT-BAYONNE,40.650639,-74.118108,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.05,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.65202,-74.119993,0.99,rooftop,32,Isabella Ave,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.05
1938,2016,"KINDER MORGAN LIQUID TERMINALS, LLC",40.58513,-74.21226,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,24.0,0.0,18.0,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,,40.586366,-74.215299,0.96,nearest_street,1,Beverly St,,,Carteret,NJ,Middlesex County,7008,US,TIGER/Line® dataset from the US Census Bureau,6.0
1952,2016,"KINDER MORGAN LIQUID TERMINALS, LLC",40.60614,-74.23521,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.14,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,40.606967,-74.235435,0.98,nearest_street,2633,Marshes Dock Rd,,,Linden,NJ,Union County,7036,US,TIGER/Line® dataset from the US Census Bureau,0.14
1957,2016,IMTT-BAYONNE,40.650953,-74.119835,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.0,0.0,0.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,40.65202,-74.119993,0.99,rooftop,32,Isabella Ave,,,Bayonne,NJ,Hudson County,7002,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2.0
1977,2016,IMTT-BAYONNE,40.657792,-74.091888,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,150.0,0.0,140.0,NO,,NO,,NO,CARBON STEEL,OTHER,,40.65211,-74.096015,0.93,nearest_street,50,Commerce St,,,Bayonne,NJ,Hudson County,7002,US,TIGER/Line® dataset from the US Census Bureau,10.0
2000,2016,"KINDER MORGAN LIQUID TERMINALS, LLC",40.523327,-74.256013,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.52253,-74.254623,0.99,rooftop,920,High St,,,Perth Amboy,NJ,Middlesex County,8861,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",0.0
