,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
3145,2013,EXPLORER PIPELINE CO,39.789126,-89.104467,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.38,0.0,0.38,NO,,NO,,NO,,LEAK,SEAL OR PACKING,39.789175,-89.104129,0.99,nearest_street,3876,S Lincoln Memorial Pkwy,,,Decatur,IL,Macon County,62522,US,TIGER/Line® dataset from the US Census Bureau,0.0
3150,2013,ENTERPRISE PRODUCTS OPERATING LLC,41.697667,-90.098627,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,18400.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,41.697834,-90.100025,0.97,nearest_street,8244,County Rd 13,,,Erie,IL,Whiteside County,61250,US,TIGER/Line® dataset from the US Census Bureau,18400.0
3221,2013,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",40.94267,-88.64449,CRUDE OIL,0.6,0.0,0.6,NO,,NO,,NO,,OVERFILL OR OVERFLOW,,40.941651,-88.643697,0.97,nearest_street,21721,N 1500 E Rd,,,Pontiac,IL,Livingston County,61764,US,TIGER/Line® dataset from the US Census Bureau,0.0
3247,2013,"BUCKEYE PARTNERS, LP",38.95973,-89.44549,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.36,0.0,0.75,NO,,NO,,,CARBON STEEL,LEAK,PINHOLE,38.959933,-89.445591,0.99,nearest_street,1023,15th Ave,,,Greenville,IL,Bond County,62246,US,TIGER/Line® dataset from the US Census Bureau,0.6100000000000001
3282,2013,EXPLORER PIPELINE CO,38.82204498,-90.07891101,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.28,0.0,0.28,NO,,NO,,NO,CARBON STEEL,OTHER,,38.821295,-90.089402,0.92,nearest_street,1398,Robbins Rd,,,Hartford,IL,Madison County,62048,US,TIGER/Line® dataset from the US Census Bureau,0.0
3284,2013,MARATHON PIPE LINE LLC,39.22226,-89.493926,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.7,0.0,0.7,NO,,NO,,YES,,LEAK,SEAL OR PACKING,39.224616,-89.49238,0.96,nearest_street,15204,County Rd 1100 E,,,Butler,IL,Montgomery County,62015,US,TIGER/Line® dataset from the US Census Bureau,0.0
3295,2013,EXPLORER PIPELINE CO,39.816597,-89.086496,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,30.0,0.0,30.0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,39.816446,-89.087038,0.98,nearest_street,8188,Pebble Springs Rd,,,Decatur,IL,Macon County,62522,US,TIGER/Line® dataset from the US Census Bureau,0.0
3312,2013,MARATHON PIPE LINE LLC,39.328029,-87.897211,CRUDE OIL,1.1,0.0,1.1,NO,,NO,,YES,CARBON STEEL,OTHER,,39.328567,-87.898145,0.98,nearest_street,6098,E Snake Trail Rd,,,Martinsville,IL,Clark County,62442,US,TIGER/Line® dataset from the US Census Bureau,0.0
3346,2013,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,39.544,-87.5885,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.57,0.0,0.0,NO,,NO,,YES,,LEAK,OTHER,39.54219,-87.587786,0.96,nearest_street,4544,County Rd 1,,,Paris,IL,Edgar County,61944,US,TIGER/Line® dataset from the US Census Bureau,1.57
3383,2013,MARATHON PIPE LINE LLC,38.923554,-88.385636,CRUDE OIL,0.0,0.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER,38.911369,-88.389155,0.91,nearest_street,22589,E 1st Ave,,,Dieterich,IL,Effingham County,62424,US,TIGER/Line® dataset from the US Census Bureau,0.0
3439,2012,"CCPS TRANSPORTATION, LLC",40.3375,-89.82917,CRUDE OIL,3.0,0.0,3.0,NO,,NO,,YES,,LEAK,SEAL OR PACKING,40.332688,-89.828414,0.94,nearest_street,19100,N County Rd 2800 E,,,Forest City,IL,Mason County,61532,US,TIGER/Line® dataset from the US Census Bureau,0.0
3466,2012,"BUCKEYE PARTNERS, LP",38.585632,-90.178975,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,0.0,0.24,NO,,NO,,NO,,LEAK,SEAL OR PACKING,38.585683,-90.17799,0.99,rooftop,3321,Mississippi Ave,,,East Saint Louis,IL,St. Clair County,62206,US,St Clair,0.0
3474,2012,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",41.55556,-87.88528,CRUDE OIL,900.0,0.0,900.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,41.554344,-87.884536,0.99,rooftop,10961,W 183rd St,,,Mokena,IL,Will County,60448,US,Will,0.0
3497,2012,"ONEOK NGL PIPELINE, LLC",41.644119,-87.892427,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,10.0,0.0,10.0,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK,41.64464,-87.891957,1.0,rooftop,13459,Wolf Rd,,,Orland Park,IL,Cook County,60467,US,Cook,0.0
3510,2012,MUSTANG PIPE LINE PARTNERS,40.51608,-88.31929,CRUDE OIL,1.5,0.0,1.5,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,40.515418,-88.315985,0.96,nearest_street,768,E 800N Rd,,,Melvin,IL,Ford County,60952,US,TIGER/Line® dataset from the US Census Bureau,0.0
3524,2012,MARATHON PIPE LINE LLC,39.323679,-87.900338,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.1,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,39.32333,-87.899109,0.97,nearest_street,12051,N 600th St,,,Martinsville,IL,Clark County,62442,US,TIGER/Line® dataset from the US Census Bureau,0.0
3558,2012,WEST SHORE PIPELINE CO,41.68140797,-87.82598113,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,704.0,0.0,685.0,NO,,NO,,YES,CARBON STEEL,RUPTURE,,41.680849,-87.826627,0.99,rooftop,8401,Cal-Sag Rd,,,Palos Park,IL,Cook County,60464,US,Cook,19.0
3561,2012,MARATHON PIPE LINE LLC,39.060075,-88.495556,CRUDE OIL,0.2,0.0,0.2,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,39.059885,-88.495613,1.0,rooftop,9996,N 1650th St,,,Effingham,IL,Effingham County,62401,US,Effingham,0.0
3564,2012,MARATHON PIPE LINE LLC,38.851604,-90.087322,CRUDE OIL,25.0,0.0,25.0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,38.851046,-90.08623,0.97,nearest_street,498,W Thomas St,,,Roxana,IL,Madison County,62084,US,TIGER/Line® dataset from the US Census Bureau,0.0
3648,2012,"BUCKEYE PARTNERS, LP",41.395652,-87.97975,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.38,0.0,2.38,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,41.395202,-87.980655,0.99,rooftop,V,S Walsh Rd,,,Manhattan,IL,Will County,60442,US,Will,0.0
3682,2012,EXPLORER PIPELINE CO,40.647936,-88.340732,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,41.64,0.0,41.64,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE,40.647849,-88.33959,0.98,nearest_street,2094,N 3050 E Rd,,,Strawn,IL,Livingston County,61775,US,TIGER/Line® dataset from the US Census Bureau,0.0
3698,2012,WEST SHORE PIPELINE CO,41.658008,-88.041942,CRUDE OIL,0.36,0.0,0.36,NO,,NO,,YES,,LEAK,SEAL OR PACKING,41.658425,-88.043356,0.97,nearest_street,284,New Ave,,,Lockport,IL,Will County,60441,US,TIGER/Line® dataset from the US Census Bureau,0.0
3706,2012,MARATHON PIPE LINE LLC,38.79106,-89.08415,CRUDE OIL,1.6,0.0,1.6,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,38.794053,-89.08646,0.95,nearest_street,8798,US Hwy 51,,,Vernon,IL,Marion County,62892,US,TIGER/Line® dataset from the US Census Bureau,0.0
3707,2012,MARATHON PIPE LINE LLC,38.82855,-90.08931,CRUDE OIL,0.4,0.0,0.4,NO,,NO,,YES,,LEAK,CONNECTION FAILURE,38.828395,-90.091076,0.97,nearest_street,600,S Olive Ave,,,Hartford,IL,Madison County,62048,US,TIGER/Line® dataset from the US Census Bureau,0.0
