,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
1505,2017,"SHELL PIPELINE CO., L.P.",35.649592,-119.745399,CRUDE OIL,2.5,0,2.5,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,35.649592,-119.745399,0.12,nearest_place,,,,,Lost Hills,CA,Kern County,93249,US,TIGER/Line® dataset from the US Census Bureau,0
1507,2017,TORRANCE BASIN PIPELINE COMPANY LLC,33.847426,-118.318086,CRUDE OIL,0.7,0,0,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,33.847092,-118.31811,1,rooftop,2061,Del Amo Blvd,,,Torrance,CA,Los Angeles County,90501,US,Los Angeles,0.7
1524,2017,"SFPP, LP",39.013905,-120.977821,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,20.5,0,20.5,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,39.014056,-120.976916,1,rooftop,579,Rigby Ln,,,Applegate,CA,Placer County,95703,US,Placer,0
1533,2017,"SFPP, LP",33.846507,-118.232718,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,213,0,213,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,33.846393,-118.232332,1,rooftop,1958,E Del Amo Blvd,,,Long Beach,CA,Los Angeles County,90807,US,Los Angeles,0
1582,2017,VALERO REFINING COMPANY - CALIFORNIA,38.05445,-122.13996,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,12,0,12,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER,38.054386,-122.140474,1,rooftop,1898,Casa Grande St,,,Benicia,CA,Solano County,94510,US,Solano,0
1586,2017,PHILLIPS 66 PIPELINE LLC,35.324455,-119.650046,CRUDE OIL,0.5,0,0.5,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,35.323925,-119.649166,0.99,rooftop,6601,Franco Western Rd,,,Mc Kittrick,CA,Kern County,93251,US,Kern,0
1636,2017,CALNEV PIPELINE CO,34.064367,-117.364393,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3.4,0,0,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK,34.063753,-117.36589,0.97,nearest_street,4759,Sycamore Ave,,,Colton,CA,San Bernardino County,92324,US,TIGER/Line® dataset from the US Census Bureau,3.4
1638,2017,PHILLIPS 66 PIPELINE LLC,34.863438,-120.449835,CRUDE OIL,0.47,0,0.47,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,34.863705,-120.448319,0.99,rooftop,241,S Broadway,,,Santa Maria,CA,Santa Barbara County,93455,US,Santa Barbara,0
1657,2017,PHILLIPS 66 PIPELINE LLC,35.412076,-119.729927,CRUDE OIL,91,0,91,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,35.412076,-119.729927,0.05,nearest_place,,,,,Mc Kittrick,CA,Kern County,93251,US,TIGER/Line® dataset from the US Census Bureau,0
1677,2017,PHILLIPS 66 PIPELINE LLC,33.806566,-118.329863,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,5.5,0,5.5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.806426,-118.330303,1,rooftop,24231,Crenshaw Blvd,,,Torrance,CA,Los Angeles County,90505,US,Los Angeles,0
1731,2016,"PLAINS PIPELINE, L.P.",34.6428,-118.7169,CRUDE OIL,20,0,20,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,34.6428,-118.7169,0.05,nearest_place,,,,,Castaic,CA,Los Angeles County,91384,US,TIGER/Line® dataset from the US Census Bureau,0
1741,2016,"SFPP, LP",34.059928,-117.366844,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.4,0,1.4,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,34.059173,-117.368316,0.99,rooftop,2307,S Riverside Ave,,,Rialto,CA,San Bernardino County,92376,US,San Bernardino,0
1839,2016,"SFPP, LP",34.059928,-117.366844,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.79,0,0.9,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING,34.059173,-117.368316,0.99,rooftop,2307,S Riverside Ave,,,Rialto,CA,San Bernardino County,92376,US,San Bernardino,0.89
1847,2016,TORRANCE VALLEY PIPELINE COMPANY LLC,35.435228,-119.682456,CRUDE OIL,50.24,0,50.24,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,35.434255,-119.682583,0.99,rooftop,19662,33 Hwy,,,Mc Kittrick,CA,Kern County,93251,US,Kern,0
1855,2016,TESORO SOCAL PIPELINE COMPANY LLC,33.77754,-118.210091,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,295,0,295,NO,,NO,,YES,CARBON STEEL,RUPTURE,,33.777988,-118.209457,1,rooftop,1355,St,,,Long Beach,CA,Los Angeles County,90813,US,Los Angeles,0
1868,2016,"PLAINS MARKETING, L.P.",35.054,-119.3169,CRUDE OIL,0.36,0,0.36,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,35.053826,-119.313707,0.96,nearest_street,884,Basic School Rd,,,Maricopa,CA,Kern County,93252,US,TIGER/Line® dataset from the US Census Bureau,0
1875,2016,TESORO SOCAL PIPELINE COMPANY LLC,33.863,-118.164425,CRUDE OIL,3,0,3,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,33.860147,-118.164269,0.96,nearest_street,2400,E South St,,,Long Beach,CA,Los Angeles County,90805,US,TIGER/Line® dataset from the US Census Bureau,0
1876,2016,"PLAINS PIPELINE, L.P.",33.76233,-118.10183,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1,0,1,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,33.761857,-118.101147,0.99,rooftop,6701,2nd St,,,Long Beach,CA,Los Angeles County,90803,US,Los Angeles,0
1907,2016,CRIMSON PIPELINE L.P.,34.283001,-119.25847,CRUDE OIL,1075,0,1011,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE,34.281892,-119.25809,0.99,rooftop,2893,Grove Ln,,,Ventura,CA,Ventura County,93003,US,Ventura,64
1915,2016,"PLAINS PIPELINE, L.P.",33.863326,-118.216752,CRUDE OIL,173,0,173,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,33.863547,-118.216872,1,rooftop,18515,S Alameda St,,,Compton,CA,Los Angeles County,90220,US,Los Angeles,0
1919,2016,EXXONMOBIL OIL CORP - WEST COAST,33.734846,-118.272297,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.12,0,0.12,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,33.73625,-118.27123,0.99,rooftop,809,S South Seaside Ave,,,San Pedro,CA,Los Angeles County,90731,US,City of Los Angeles,0
1922,2016,"PLAINS PIPELINE, L.P.",35.2482,-119.2748,CRUDE OIL,0.48,0,0.48,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,35.252896,-119.270351,0.94,nearest_street,12900,Olen Ave,,,Bakersfield,CA,Kern County,93311,US,TIGER/Line® dataset from the US Census Bureau,0
1936,2016,"SHELL PIPELINE CO., L.P.",35.439682,-118.99227,CRUDE OIL,15,0,15,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,CONNECTION FAILURE,35.426873,-118.989578,0.91,nearest_street,1082,China Grade Lp,,,Bakersfield,CA,Kern County,93308,US,TIGER/Line® dataset from the US Census Bureau,0
