,IYEAR,NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,net_spill
2317,2015,SUNOCO PIPELINE L.P.,34.81979,-97.44566,CRUDE OIL,1.0,0.0,1.0,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,34.81979,-97.44566,0.22,nearest_place,,,,,Maysville,OK,Garvin County,73057,US,TIGER/Line® dataset from the US Census Bureau,0.0
2327,2015,"TALLGRASS PONY EXPRESS PIPELINE, LLC",36.011954,-96.74166,CRUDE OIL,0.5,0.0,0.5,NO,,NO,,YES,CARBON STEEL,OVERFILL OR OVERFLOW,,36.014706,-96.740754,0.96,nearest_street,1774,E0690 Rd,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2361,2015,EXPLORER PIPELINE CO,36.64234919,-94.9731575,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.18,0.0,0.18,NO,,NO,,NO,CARBON STEEL,LEAK,CONNECTION FAILURE,36.641556,-94.963369,0.93,nearest_street,25998,S 510th Rd,,,Afton,OK,Delaware County,74331,US,TIGER/Line® dataset from the US Census Bureau,0.0
2405,2015,"CHAPARRAL ENERGY, LLC",36.827669,-96.475662,CO2 (CARBON DIOXIDE),4.5,1033.0,0.0,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE,36.827669,-96.475662,0.05,nearest_place,,,,,Shidler,OK,Osage County,74652,US,TIGER/Line® dataset from the US Census Bureau,1037.5
2414,2015,"MAGELLAN PIPELINE COMPANY, LP",35.97974,-96.00985,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,0.0,0.1,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER,35.980622,-96.009773,0.98,nearest_street,1660,W 126th St S,,,Jenks,OK,Tulsa County,74037,US,TIGER/Line® dataset from the US Census Bureau,0.0
2419,2015,ENBRIDGE STORAGE (CUSHING) L.L.C.,35.945098,-96.760237,CRUDE OIL,0.24,0.0,0.24,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,35.953157,-96.767384,0.92,nearest_street,2698,S Little Ave,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
2434,2015,EXPLORER PIPELINE CO,36.64234919,-94.9731575,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.26,0.0,0.26,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING,36.641556,-94.963369,0.93,nearest_street,25998,S 510th Rd,,,Afton,OK,Delaware County,74331,US,TIGER/Line® dataset from the US Census Bureau,0.0
2448,2015,"PLAINS PIPELINE, L.P.",34.333794,-98.06368,CRUDE OIL,8.0,0.0,8.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,PINHOLE,34.339929,-98.069373,0.93,nearest_street,98,N2760 Rd,,,Comanche,OK,Stephens County,73529,US,TIGER/Line® dataset from the US Census Bureau,0.0
2450,2015,"ONEOK NGL PIPELINE, LLC",36.774347,-97.756557,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4.4,0.0,0.0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING,36.774347,-97.756557,0.06,nearest_place,,,,,Medford,OK,Grant County,73759,US,TIGER/Line® dataset from the US Census Bureau,4.4
2461,2015,SUNOCO PIPELINE L.P.,35.986205,-96.745943,CRUDE OIL,8.0,0.0,8.0,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,OTHER,,35.985617,-96.745095,0.97,nearest_street,1651,E North St,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau,0.0
