IYEAR,NAME,OPERATOR_CITY_NAME,OPERATOR_STATE_ABBREVIATION,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE_BBLS,INTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,FATALITY_IND,FATAL,INJURY_IND,INJURE,SHUTDOWN_DUE_ACCIDENT_IND,MATERIAL_INVOLVED,RELEASE_TYPE,LEAK_TYPE
2021,"BUCKEYE PARTNERS, LP",BREINIGSVILLE,PA,40.5121785,-74.2919789,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3,,3,NO,,NO,,NO,CARBON STEEL,OTHER,
2021,ENBRIDGE STORAGE (CUSHING) L.L.C.,HOUSTON,TX,35.945081,-96.760319,CRUDE OIL,0.18,,0.18,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,"PLAINS PIPELINE, L.P.",HOUSTON,TX,31.599108,-103.17198,CRUDE OIL,0.2,,0.2,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,"PLAINS PIPELINE, L.P.",HOUSTON,TX,32.993863,-102.790247,CRUDE OIL,0.5,,0,NO,,NO,,YES,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,31.878745,-102.125956,CRUDE OIL,18,,18,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,
2021,ENBRIDGE STORAGE (CUSHING) L.L.C.,HOUSTON,TX,35.944806,-96.764764,CRUDE OIL,0.48,,0.48,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"NUSTAR LOGISTICS, L.P.",SAN ANTONIO,TX,34.99138,-106.6579,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.34,,2.34,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,E&B NATURAL RESOURCES MANAGEMENT CORP,BAKERSFIELD,CA,35.00564,-118.3705,CRUDE OIL,18,,18,NO,,NO,,NO,CARBON STEEL,LEAK,OTHER
2021,SUNOCO PIPELINE L.P.,HOUSTON,TX,30.63015,-96.256562,CRUDE OIL,0.2,,0.2,NO,,NO,,NO,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"MAGELLAN TERMINALS HOLDINGS, LP",TULSA,OK,35.946747,-96.743018,CRUDE OIL,3,,3,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,SUNOCO PIPELINE L.P.,HOUSTON,TX,31.76948,-99.88618,CRUDE OIL,1000,,1000,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,"BUCKEYE PARTNERS, LP",BREINIGSVILLE,PA,42.273747,-83.404856,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2,,2,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,29.61136,-95.18487,CRUDE OIL,5,,5,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,"SFPP, LP",HOUSTON,TX,33.845486,-118.23015,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,70,,70,NO,,NO,,NO,CARBON STEEL,LEAK,CRACK
2021,SUNOCO PIPELINE L.P.,HOUSTON,TX,34.575483,-100.383136,CRUDE OIL,50,,50,NO,,NO,,YES,CARBON STEEL,MECHANICAL PUNCTURE,
2021,"SFPP, LP",HOUSTON,TX,33.23804,-115.504465,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,51.5,,37,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",DALLAS,TX,41.568256,-109.978172,CRUDE OIL,0.3,,0.3,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,ENTERPRISE CRUDE PIPELINE LLC,HOUSTON,TX,29.61504,-95.18286,CRUDE OIL,0.36,,0.36,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,SEAL OR PACKING
2021,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",TULSA,OK,29.792991,-95.281093,CRUDE OIL,60,,60,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,"MAGELLAN PIPELINE COMPANY, LP",TULSA,OK,43.135925,-93.352762,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,4.8,,4.8,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK
2021,"PLAINS PIPELINE, L.P.",HOUSTON,TX,31.766045,-103.167426,CRUDE OIL,1.22,,0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,SAN ANTONIO,TX,40.608277,-74.221761,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,,0.5,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",DALLAS,TX,36.12478,-96.00645,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1,,1,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"MAGELLAN PIPELINE COMPANY, LP",TULSA,OK,33.832361,-98.2779,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,,0,NO,,NO,,YES,CARBON STEEL,LEAK,SEAL OR PACKING
2021,"SUMMIT MIDSTREAM PARTNERS, LLC",HOUSTON,TX,48.805078,-103.617502,CRUDE OIL,535,,400,NO,,NO,,YES,CARBON STEEL,LEAK,CRACK
2021,"KINDER MORGAN LIQUID TERMINALS, LLC",HOUSTON,TX,40.5234,-74.25591,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.19,,1.19,NO,,NO,,NO,CARBON STEEL,LEAK,PINHOLE
2021,"BUCKEYE PARTNERS, LP",BREINIGSVILLE,PA,39.122008,-94.438407,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.38,,1.75,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,CENEX PIPELINE LLC,LAUREL,MT,48.22844,-101.3672,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.24,,0.24,NO,,NO,,NO,MATERIAL OTHER THAN CARBON STEEL,LEAK,OTHER
2021,KERN OIL & REFINING CO.,BAKERSFIELD,CA,35.287192,-119.21433,CRUDE OIL,2258,,1062,NO,,NO,,YES,CARBON STEEL,OTHER,
2021,"CCPS TRANSPORTATION, LLC",HOUSTON,TX,39.00528141,-93.5577358,CRUDE OIL,0.12,,0.12,NO,,NO,,YES,CARBON STEEL,LEAK,CONNECTION FAILURE
2021,CENTURION PIPELINE L.P.,HOUSTON,TX,32.00544,-102.041,CRUDE OIL,12,,12,NO,,NO,,YES,CARBON STEEL,LEAK,PINHOLE
2021,MID - VALLEY PIPELINE CO,HOUSTON,TX,32.485514,-94.832977,CRUDE OIL,0.6,,0.6,NO,,NO,,NO,CARBON STEEL,OVERFILL OR OVERFLOW,
2021,"BUCKEYE PARTNERS, LP",BREINIGSVILLE,PA,40.61783,-74.21257,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,353,,108,NO,,NO,,YES,CARBON STEEL,LEAK,OTHER
